maze,heuristic,runtime,path_length,nodes_expanded
maze396_dim130.txt,Manhattan,0.15575218200683594,704,35558
maze396_dim130.txt,Euclidean,0.2070002555847168,704,35537
maze396_dim130.txt,Q-learned,0.15235495567321777,704,35527
maze544_dim75.txt,Manhattan,0.06051754951477051,320,12651
maze544_dim75.txt,Euclidean,0.07214117050170898,320,12667
maze544_dim75.txt,Q-learned,0.05272316932678223,320,12690
maze383_dim53.txt,Manhattan,0.013440370559692383,244,2965
maze383_dim53.txt,Euclidean,0.027611732482910156,244,5021
maze383_dim53.txt,Q-learned,0.02425074577331543,244,5987
maze667_dim38.txt,Manhattan,0.003036975860595703,172,723
maze667_dim38.txt,Euclidean,0.010550975799560547,172,1946
maze667_dim38.txt,Q-learned,0.012452363967895508,172,3145
maze1037_dim15.txt,Manhattan,0.0016868114471435547,114,392
maze1037_dim15.txt,Euclidean,0.002012014389038086,114,392
maze1037_dim15.txt,Q-learned,0.001434326171875,114,393
